id,parent_id,depth,name_zh,name_en,name_ar,path_zh,is_leaf,state,reason,matched
67,,1,办公、文化,Office & Culture,مكتب وثقافة,办公、文化,False,allowed,,
1038378,,1,鞋,Shoes,أحذية,鞋,False,allowed,,
311,,1,童装,Kids Clothing,ملابس أطفال,童装,False,allowed,,
312,,1,内衣,Underwear,ملابس داخلية,内衣,False,allowed,,
54,,1,服饰配件、饰品,Accessories & Jewelry,إكسسوارات ومجوهرات,服饰配件、饰品,False,allowed,,
1813,,1,玩具,Toys,ألعاب,玩具,False,allowed,,
10166,,1,女装,Women's Clothing,ملابس نسائية,女装,False,allowed,,
2,,1,食品酒水,Food & Beverages,طعام ومشروبات,食品酒水,False,review,alcohol,酒
122916001,,1,宠物及园艺,Pets & Gardening,الحيوانات الأليفة والبستنة,宠物及园艺,False,allowed,,
122916002,,1,汽车用品,Car Accessories,إكسسوارات السيارات,汽车用品,False,allowed,,
58,,1,灯饰照明,Lighting,إضاءة,灯饰照明,False,allowed,,
10165,,1,男装,Men's Clothing,ملابس رجالية,男装,False,allowed,,
57,,1,电子元器件,Electronic Components,مكونات إلكترونية,电子元器件,False,allowed,,
53,,1,传媒、广电,Media & Broadcasting,الإعلام والبث,传媒、广电,False,allowed,,
70,,1,安全、防护,Safety & Protection,السلامة والحماية,安全、防护,False,allowed,,
68,,1,包装,Packaging,تغليف,包装,False,allowed,,
7,,1,数码、电脑,Digital & Computers,الرقمية وأجهزة الكمبيوتر,数码、电脑,False,allowed,,
5,,1,电工电气,Electrical Engineering,الهندسة الكهربائية,电工电气,False,allowed,,
4,,1,纺织、皮革,Textiles & Leather,المنسوجات والجلود,纺织、皮革,False,allowed,,
1042954,,1,箱包皮具,Bags & Leather Goods,حقائب ومنتجات جلدية,箱包皮具,False,allowed,,
65,,1,机械及行业设备,Machinery & Industry Equipment,آلات ومعدات صناعية,机械及行业设备,False,allowed,,
59,,1,五金、工具,Hardware & Tools,أدوات ومعدات,五金、工具,False,allowed,,
8,,1,化工,Chemical Industry,الصناعة الكيميائية,化工,False,allowed,,
55,,1,橡塑,Rubber & Plastics,المطاط والبلاستيك,橡塑,False,allowed,,
201346017,,1,建材,Building Materials,مواد البناء,建材,False,allowed,,
64,,1,环保,Environmental Protection,حماية البيئة,环保,False,allowed,,
10208,,1,仪器仪表,Instruments & Meters,أجهزة وأدوات قياس,仪器仪表,False,allowed,,
15,,1,居家日用品,Home Daily Necessities,اللوازم المنزلية اليومية,居家日用品,False,allowed,,
201547801,,1,日用餐厨饮具,Daily Tableware,أدوات مائدة يومية,日用餐厨饮具,False,allowed,,
201547901,,1,收纳清洁用具,Storage & Cleaning,أدوات التخزين والتنظيف,收纳清洁用具,False,allowed,,
96,,1,家纺家饰,Home Textiles & Decor,المنسوجات والديكور المنزلي,家纺家饰,False,allowed,,
97,,1,美容护肤/彩妆,Skincare & Makeup,العناية بالبشرة والمكياج,美容护肤/彩妆,False,allowed,,
6,,1,家用电器,Home Appliances,الأجهزة المنزلية,家用电器,False,allowed,,
13,,1,家装建材,Home Renovation Materials,مواد تجديد المنزل,家装建材,False,allowed,,
12,,1,交通运输,Transportation,النقل,交通运输,False,allowed,,
10,,1,能源,Energy,الطاقة,能源,False,allowed,,
1,,1,农业,Agriculture,زراعة,农业,False,allowed,,
71,,1,汽摩及配件,Automotive & Parts,السيارات وقطع الغيار,汽摩及配件,False,allowed,,
509,,1,通信产品,Communication Products,منتجات الاتصالات,通信产品,False,allowed,,
9,,1,冶金矿产,Metallurgy & Minerals,المعادن والتعدين,冶金矿产,False,allowed,,
66,,1,医药、保养,Pharmaceuticals & Care,الأدوية والعناية,医药、保养,False,review,medicine,药
72,,1,印刷,Printing,الطباعة,印刷,False,allowed,,
18,,1,运动户外,Sports & Outdoors,رياضة ونشاطات خارجية,运动户外,False,allowed,,
1426,,1,机床,Machine Tools,آلات,机床,False,allowed,,
69,,1,商务服务,Business Services,الخدمات التجارية,商务服务,False,allowed,,
2829,,1,二手设备转让,Used Equipment Transfer,نقل معدات مستعملة,二手设备转让,False,allowed,,
2805,,1,加工,Processing,تصنيع,加工,False,allowed,,
130822220,,1,个护/家清,Personal Care & Home Cleaning,العناية الشخصية والتنظيف المنزلي,个护/家清,False,allowed,,
130823000,,1,成人用品,Adult Products,منتجات للكبار,成人用品,False,blocked,sexual,成人用品
130822002,,1,餐饮生鲜,Fresh Food & Catering,أطعمة طازجة والتموين,餐饮生鲜,False,allowed,,
123614001,,1,钢铁,Steel,فولاذ,钢铁,False,allowed,,
202052814,,1,新能源,New Energy,طاقة جديدة,新能源,False,allowed,,
201857705,67,2,手账,Planners,دفاتر التخطيط,办公、文化 > 手账,False,allowed,,
2111,67,2,学习文具,School Stationery,أدوات مكتبية مدرسية,办公、文化 > 学习文具,False,allowed,,
10336,67,2,纸品本册,Paper Notebooks,دفاتر الورق,办公、文化 > 纸品本册,False,allowed,,
